Initial Pressure (atm),Initial Pressure (kPa),Initial Pressure (kPa)
0.08724,8.839593,8.839593
0.092786,9.401531,9.401531
0.099557,10.087633,10.087633
0.105851,10.725353,10.725353
0.117171,11.872352,11.872352
0.129594,13.131112,13.131112
0.143381,14.52808,14.52808
0.160065,16.218586,16.218586
0.170269,17.252506,17.252506
0.194245,19.681875,19.681875
0.22557,22.85588,22.85588
0.254019,25.738475,25.738475
0.291138,29.499558,29.499558
0.32066,32.490875,32.490875
0.38402,38.910827,38.910827
0.470063,47.629133,47.629133
