Dilution Ratio,Percent Diluent,Percent Diluent
3.508,71.4753,71.4753
3.4876,71.3559,71.3559
4.0016,74.0819,74.0819
3.9693,73.9257,73.9257
4.2446,75.1973,75.1973
4.2428,75.1895,75.1895
4.2707,75.3117,75.3117
4.2532,75.2353,75.2353
4.4825,76.2004,76.2004
4.4955,76.2532,76.2532
4.4911,76.2354,76.2354
4.7052,77.0688,77.0688
4.7014,77.0544,77.0544
4.8674,77.6622,77.6622
4.8653,77.6548,77.6548
4.9755,78.0409,78.0409
4.988,78.0838,78.0838
4.985,78.0737,78.0737
5.3651,79.3057,79.3057
5.3622,79.2966,79.2966
5.4959,79.6979,79.6979
5.4932,79.6901,79.6901
5.693,80.2623,80.2623
5.6916,80.2582,80.2582
5.9776,81.0235,81.0235
5.9898,81.0549,81.0549
5.9868,81.0473,81.0473
6.1284,81.4038,81.4038
6.2286,81.6479,81.6479
6.3536,81.9438,81.9438
6.4887,82.2531,82.2531
6.4846,82.2438,82.2438
6.225,81.6394,81.6394
6.2372,81.6687,81.6687
6.3759,81.9956,81.9956
6.359,81.9563,81.9563
6.4801,82.2338,82.2338
6.4775,82.2278,82.2278
6.4739,82.2198,82.2198
